"customer_key","name","gender","birth_date","address","city","region","phone","email","status"
1,Брыкалова В.П.,м,1973-05-01,"Доваторцев Ул., дом 4, кв. 13, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9781061400,nbirjukov@ip.net,Активен
2,Файнер Т.П.,ж,1983-03-13,"Маркса К. Пр., дом 8, кв. 168, Самара, Самарская область",Самара,Самарская область,9868811346,efrem19@seliverstova.net,Активен
3,Глазова М.М.,м,1996-03-23,"Комсомольская, дом 84/А, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9443832225,belovanikita@fortum.info,Активен
4,Панов А.Б.,м,1985-01-29,"10-Й Микрорайон, дом 6, кв. 36, Прокопьевск, Кемеровская область",Прокопьевск,Кемеровская область,9843689190,isaevvladimir@mail.ru,Активен
5,Малькова Э.Н.,ж,1990-04-10,"Беляева Ул., дом 13, кв. 29, Череповец, Вологодская область",Череповец,Вологодская область,9560202126,anisim80@gmail.com,Активен
6,Имукова Ю.Ф.,м,1982-05-23,"К Маркса, дом 43, кв. 46, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9397360547,gnaumova@ooo.ru,Активен
7,Биккинина М.А.,м,1995-02-24,"Бул. Шишкинский, дом 6, кв. 162(адрес по комплексу: 30/17-162), Набережные Челны, Республика Татарстан",Набережные Челны,Республика Татарстан,9409558919,sharovbronislav@rao.info,Активен
8,Соловьева Н.В.,м,1985-06-23,"Московский Тракт, дом 163, кв. 116, Тюмень, Тюменская область",Тюмень,Тюменская область,9640429757,ilinemeljan@rambler.ru,Не активен
9,Табунов Н.С.,ж,1986-11-09,"Труда, дом 43, кв. 272, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9617230594,pahom1989@hotmail.com,Активен
10,Баженова О.А.,ж,1964-05-05,"Восточное Шоссе, дом 48, кв. 31, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9259701806,miroslavbobrov@ao.info,Активен
11,Железняков П.И.,м,1986-03-27,"Строителей, дом 3, кв. 20, Воронеж, Воронежская область",Воронеж,Воронежская область,9770934377,wzinoveva@rambler.ru,Активен
12,Воробьев А.Г.,ж,1965-10-14,"Тархова, дом 21, кв. 50, Саратов, Саратовская область",Саратов,Саратовская область,9292680355,panfil_1996@fk.info,Не активен
13,Сизак А.Я.,ж,1993-06-24,"16 Квартал, дом 7, кв. 31, Самара, Самарская область",Самара,Самарская область,9602106471,nesterovsofron@hotmail.com,Активен
14,Онацкая З.И.,ж,1964-11-22,"К-Маркса, дом 81, кв. 31, Нижний Тагил, Свердловская область",Нижний Тагил,Свердловская область,9176702976,sila51@yahoo.com,Активен
15,Булах О.Г.,ж,1966-04-13,"Гоголя Ул., дом 73, кв. 28, Иркутск, Иркутская область",Иркутск,Иркутская область,9785363114,kallistrat_33@gmail.com,Активен
16,Плотникова В.Ю.,ж,1977-05-13,"Металлургов, дом 19, кв. 36, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9604773851,iartemev@hotmail.com,Активен
17,Тонких И.Ю.,ж,1960-10-22,"Тихоокеанская Ул., дом 178, кв. 187, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9517726483,glafira1984@gmail.com,Активен
18,Прутчикова Н.О.,ж,1989-05-12,"Революции Шоссе, дом 27/39, кв. 52, Санкт-Петербург, Ленинградская область",Санкт-Петербург,Ленинградская область,9698313755,pankrat_2016@rao.org,Активен
19,Яночкина Т.В.,ж,1966-09-04,"Рыленкова Ул., дом 73, кв. 5, Смоленск, Смоленская область",Смоленск,Смоленская область,9429887446,avdeevaanzhela@mail.ru,Активен
20,Иванова Н.В.,ж,1982-02-18,"Мамина-Сибиряка Ул., дом 29, кв. 134, Иркутск, Иркутская область",Иркутск,Иркутская область,9350968996,feliks_2002@yahoo.com,Активен
21,(Управление Ф.С.,м,1970-01-26,"Крупской, дом 19, Уфа, Республика Башкортостан",Уфа,Республика Башкортостан,9742853122,adam_1998@ooo.info,Активен
22,Корнаухов Е.Я.,ж,1971-10-07,"Дружбы Hародов, дом 30/Б, кв. 124, Нижневартовск, Ханты-Мансийский АО",Нижневартовск,Ханты-Мансийский АО,9986811313,ruslan63@yahoo.com,Активен
23,Репьев М.Н.,ж,1980-03-10,"Пр.октябрьский, дом 28, кв. 227, Нижний Тагил, Свердловская область",Нижний Тагил,Свердловская область,9431176744,larisa92@afanasev.org,Активен
24,Контузорова З.В.,ж,1989-04-22,"Энергетик / Приморская Ул., дом 31/А, кв. 87, Братск, Иркутская область",Братск,Иркутская область,9968246769,miheevafanasi@rambler.ru,Активен
25,Михайлова Т.В.,м,1974-10-08,"Ельниковский Про, дом 4, кв. 4, Чебоксары, Республика Чувашия",Чебоксары,Республика Чувашия,9381539059,haritonovatatjana@kompanija.net,Активен
26,Захаров Ф.Е.,ж,1982-06-22,"Ямская, дом 104, кв. 24, Тюмень, Тюменская область",Тюмень,Тюменская область,9162072416,vissarion_07@yandex.ru,Активен
27,Шилкина Т.В.,ж,1979-02-14,"Г. Дрезна Ул.южная, дом 19, кв. 52, Орехово-Зуево, Московская область",Орехово-Зуево,Московская область,9838953326,egorovaviktorija@rambler.ru,Активен
28,Авдеев М.К.,ж,1990-01-17,"Интернациональная, дом 101, кв. 19, Уфа, Республика Башкортостан",Уфа,Республика Башкортостан,9447123670,shestakovhristofor@mail.ru,Активен
29,Елизарова М.Г.,м,1986-06-16,"Гагарина, дом 24, кв. 49, Сургут, Ханты-Мансийский АО",Сургут,Ханты-Мансийский АО,9305157097,vmishin@rao.net,Активен
30,Войсковая Ч.А.,м,1968-08-03,"Ленина, дом 39, Уфа, Республика Башкортостан",Уфа,Республика Башкортостан,9697046444,prokl1998@gmail.com,Активен
31,Новиков С.И.,ж,1977-10-08,"8 Микрорайон, дом 91/А, кв. 59, Ангарск, Иркутская область",Ангарск,Иркутская область,9087056952,ernest_02@ao.info,Активен
32,Карагичева Т.Г.,ж,1961-04-30,"Гороховцев Ул., дом 18, кв. 39, Волгоград, Волгоградская область",Волгоград,Волгоградская область,9821542120,zdementeva@npo.org,Активен
33,Федотов А.И.,ж,1970-08-19,"Червишевский Тракт, дом 78, кв. 8, Тюмень, Тюменская область",Тюмень,Тюменская область,9648447805,serafim_1975@rambler.ru,Активен
34,Соколова А.Г.,м,1959-04-08,"Герцена, дом 20, кв. 16, Озёрск, Челябинская область",Озёрск,Челябинская область,9766544514,gushchinaivanna@gmail.com,Активен
35,Парасоцкая Е.А.,ж,1980-12-11,"Северный Пер., дом 7, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9960891877,jsubbotina@mail.ru,Активен
36,Цыганкова Н.А.,ж,1996-04-16,"Баклановский, дом 79, кв. 13, Новочеркасск, Ростовская область",Новочеркасск,Ростовская область,9323268472,german_44@yandex.ru,Активен
37,Фархутдинов М.С.,ж,1995-01-26,"Степана Разина, дом 11, кв. 56, Златоуст, Челябинская область",Златоуст,Челябинская область,9276932288,marija10@yahoo.com,Активен
38,Литман Р.М.,ж,1995-08-07,"Димитрова, дом 129, кв. 49, Краснодар, Краснодарский край",Краснодар,Краснодарский край,9665965654,evdokija1979@mail.ru,Активен
39,Светенок И.Г.,м,1987-04-21,"Комсомольская Ул., дом 4/Б, кв. 11, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9037361569,budimir_24@sibur.com,Не активен
40,Домбровская Т.А.,м,1992-10-12,"Перспективная, дом 31, кв. 42, Саратов, Саратовская область",Саратов,Саратовская область,9178190571,efimovmir@rambler.ru,Активен
41,Герасин Ю.Р.,ж,1991-10-22,"Комсомольская, дом 7/9, кв. 14, Саратов, Саратовская область",Саратов,Саратовская область,9792778653,saveli_2003@ustinova.biz,Активен
42,Годованец В.К.,м,1994-09-20,"Волочаевская Ул., дом 80, кв. 67, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9471249656,drozdovaverki@ip.org,Не активен
43,Болденков С.В.,ж,1985-10-10,"Голованова Маршала Ул., дом 29, кв. 25, Нижний Новгород, Нижегородская область",Нижний Новгород,Нижегородская область,9268622645,amos_22@rambler.ru,Активен
44,Черкасова Р.Е.,ж,1971-02-26,"Советская, дом 187, кв. 23, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9640171119,mechislavdmitriev@hotmail.com,Активен
45,Крыжавицкий В.А.,ж,1980-06-29,"84 Квартал, дом 8, кв. 44, Ангарск, Иркутская область",Ангарск,Иркутская область,9790845409,zaharovalidija@gmail.com,Активен
46,Гадышев Н.И.,м,1990-03-31,"Ворошилова Ул., дом 3, кв. 97, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9328340909,maslovarkadi@rambler.ru,Активен
47,Чиликина Л.Б.,ж,1964-02-19,"Кирова Ул., дом 16, кв. 86, Волжский, Волгоградская область",Волжский,Волгоградская область,9478446397,taisija1993@gmail.com,Активен
